"USAF","WBAN","STATION_NAME","CTRY","ST","CALL,,"LAT","LNG","ELEV(M)","BEGIN","END"
"992310","99999","PT. SAN LUIS  CA - 18 NM SOUT","US","  ","    ","+35,100","-121,010","+0000.0","19830811","20041121"
"992320","99999","ENVIRONM BUOY 42008          ","US","  ","    ","+28,700","-095,300","+0010.0","19820208","19950404"
"992330","99999","DATA BUOY 42009              ","US","  ","    ","+29,300","-087,500","+0010.0","19820330","20020510"
"992340","99999","ENVIRONM BUOY 44002          ","US","  ","    ","+40,100","-073,000","+0001.0","19780201","20040901"
"992350","99999","DATA BUOY 44010              ","US","  ","    ","+36,900","-075,700","+0003.0","19780210","20080113"
"992360","99999","GEORGES BANK 170 NM EAST OF H","US","  ","    ","+41,110","-066,620","+0000.0","19850312","20081231"
"992370","99999","COL RIVER BAR - 78NM SOUTH SO","US","  ","    ","+46,144","-124,510","+0000.0","19841011","20081231"
"992380","99999","CAPE SAN MARTIN - 55NM WEST N","US","  ","    ","+35,740","-121,890","+0000.0","19850507","20081231"
"992390","99999","DATA BUOY 41018              ","US","  ","    ","+15,000","-075,000","+0003.0","19780306","20011221"
"992400","99999","DELAWARE BAY 26 NM SOUTHEAST ","US","  ","    ","+38,460","-074,700","+0000.0","19850312","20081231"
"992410","99999","MONTEREY - 27NM WEST OF MONTE","US","  ","    ","+36,750","-122,420","+0000.0","19771027","20081231"
"992420","99999","BOSTON 16 NM EAST OF BOSTON  ","US","  ","    ","+42,350","-070,690","+0000.0","19850312","20081231"
"992430","99999","SW HAWAII 215 NM SOUTH SOUTHW","US","  ","    ","+17,140","-157,790","+0000.0","19780626","20081231"
"992440","99999","E GULF 260 NM SOUTH OF PANAMA","US","  ","    ","+26,010","-085,910","+0000.0","19780201","20081231"
"992450","99999","ENVIRONM BUOY 32301          ","US","  ","    ","-10,000","-105,000","+0003.0","19780201","19960305"
"992460","99999","DATA BUOY 46010              ","US","  ","    ","+46,200","-124,200","+0012.0","19800115","19990123"
"992470","99999","ENVIRONM BUOY 41021          ","US","  ","    ","+31,900","-080,900","+0003.0","19820310","19940913"
"992480","99999","HALF MOON BAY - 24NM SOUTH SO","US","  ","    ","+37,360","-122,880","+0000.0","19810103","20081231"
"992490","99999","BODEGA BAY - 48NM NORTH NORTH","US","  ","    ","+38,230","-123,320","+0000.0","19810717","20081231"
"992500","99999","PT ARENA - 19NM NORTH OF POIN","US","  ","    ","+39,220","-123,970","+0000.0","19820208","20081231"
"992510","99999","ENVIRONM BUOY 46015          ","US","  ","    ","+62,033","-168,983","+0003.0","19920305","19950408"
"992520","99999","DATA BUOY 46016              ","US","  ","    ","+63,300","-170,300","+0003.0","19821209","19940709"
"992530","99999","DATA BUOY 51027              ","US","  ","    ","+20,400","-157,100","+0003.0","19821209","19921105"
"992540","99999","DATA BUOY 46018              ","US","  ","    ","+60,300","-177,000","+0003.0","19820312","20030703"
"992550","99999","DATA BUOY 46019              ","US","  ","    ","+57,200","-170,300","+0003.0","19821209","19970406"
"992560","99999","DATA BUOY 46020              ","US","  ","    ","+55,900","-168,000","+0003.0","19821209","20040926"
"992570","99999","DATA BUOY 46021              ","US","  ","    ","+57,700","-160,000","+0003.0","19820712","19940905"
"992580","99999","PT ARGUELLO - 17NM WEST NORTH","US","  ","    ","+34,710","-120,970","+0000.0","19821209","20081231"
"992590","99999","ENVIRONM BUOY 46024          ","US","  ","    ","+32,800","-119,500","+0003.0","19821209","19960314"
"992600","99999","SANTA MONICA BASIN - 33NM WES","US","  ","    ","+33,750","-119,080","+0000.0","19821209","20081231"
"992610","99999","W HAWAII 205 NM SOUTHWEST OF ","US","  ","    ","+19,160","-160,740","+0000.0","19780821","20081231"
"992620","99999","SE HAWAII 185 NM SOUTHEAST OF","US","  ","    ","+17,520","-152,480","+0000.0","19850312","20081231"
"992630","99999","DATA BUOY 44003              ","US","  ","    ","+40,800","-068,500","+0003.0","19780206","20080830"
"992640","99999","SAN FRANCISCO - 18NM WEST OF ","US","  ","    ","+37,750","-122,820","+0000.0","19780429","20081231"
"992650","99999","BLUNTS REEF                  ","US","  ","    ","+40,420","-124,530","+0003.0","19841018","20041209"
"992660","99999","DATA BUOY 46031              ","US","  ","    ","+55,500","-161,700","+0003.0","19850312","19950119"
"992670","99999","ENVIRONM BUOY 62106          ","US","  ","    ","+56,983","-009,883","+0000.0","19850312","20080815"
"992680","99999","DATA BUOY 46033              ","US","  ","    ","+55,800","-159,800","+0003.0","19850312","19940419"
"992690","99999","ENVIRONM BUOY 46034          ","US","  ","    ","+55,100","-163,100","+0003.0","19850312","19950403"
"992700","99999","BUOY 62107 / SEVENSTONES LIGH","UK","  ","    ","+50,100","-006,100","+0000.0","19780619","20081231"
"992710","99999","W GULF 240 NM SOUTH-SOUTHEAST","US","  ","    ","+25,170","-094,420","+0000.0","19771002","20081231"
"992720","99999","DATA BUOY 42015              ","US","  ","    ","+30,100","-088,200","+0003.0","19780201","19960316"
"992730","99999","BUOY 41004 / EDISTO - 41 NM S","US","  ","    ","+32,500","-079,100","+0000.0","19790213","20081231"
"992740","99999","EEL RIVER - 17NM WEST-SOUTHWE","US","  ","    ","+40,780","-124,540","+0000.0","19821209","20081231"
"992750","99999","DATA BUOY 46043              ","US","  ","    ","+46,900","-124,200","+0012.0","19871110","20031210"
"992760","99999","GULF OF MAINE 78 NM EAST OF P","US","  ","    ","+43,204","-069,128","+0000.0","19820208","20081231"
"992770","99999","ENVIRONM BUOY 44006          ","US","  ","    ","+36,300","-075,400","+0003.0","19820208","19950201"
"992780","99999","PORTLAND 12 NM SOUTHEAST OF P","US","  ","    ","+43,531","-070,144","+0000.0","19820514","20081231"
"992790","99999","NANTUCKET 54NM SOUTHEAST OF N","US","  ","    ","+40,500","-069,430","+0000.0","19821209","20081231"
"992800","99999","ENVIRONM BUOY 45009          ","US","  ","    ","+41,100","-082,000","+0003.0","19861002","20020530"
"992810","99999","ENVIRONM BOUY 46027          ","US","  ","    ","+41,833","-124,400","+0003.0","19850404","19970509"
"992820","99999","BERING SEA 310 NM NORTH OF AD","US","  ","    ","+57,050","-177,580","+0000.0","19860117","20081231"
"992830","99999","DATA BUOY 51005              ","US","  ","    ","+20,400","-156,100","+0003.0","19860117","20011029"
"992840","99999","DATA BUOY 32302              ","US","  ","    ","-18,000","-085,100","+0003.0","19860616","19950403"
"992850","99999","WEST ORCA BAY 36NM SOUTH SOUT","US","  ","    ","+60,580","-146,830","+0000.0","19871118","20081231"
"992860","99999","MOORED BUOY 62027            ","  ","  ","    ","+49,100","-002,200","+0003.0","19860804","20041222"
"992870","99999","ENVIRONM BUOY 62028          ","US","  ","    ","+48,700","-008,900","+0000.0","19860605","20080907"
"992880","99999","K1 BUOY                      ","UK","  ","    ","+48,700","-012,400","+0000.0","19870319","20081231"
"992890","99999","ENVIRONM BUOY 62109          ","US","  ","    ","+57,000","+000,000","+0000.0","19870126","20041011"
"992900","99999","DATA BUOY 62164              ","UK","  ","    ","+57,200","+000,500","+0030.0","19870126","20081231"
"992910","99999","ENVIRONM BUOY 62026          ","US","  ","    ","+55,300","+001,100","+0000.0","19870126","20030816"
"992920","99999","ENVIRONM BUOY 23002          ","US","  ","    ","+22,500","-059,500","+0000.0","19870514","19991120"
"992930","99999","SOUTH NOMAD                  ","CA","  ","    ","+48,350","-133,940","+0003.0","19861001","20081231"
"992940","99999","DATA BUOY 46038              ","US","  ","    ","+41,900","-124,400","+0003.0","19870126","19961102"
"992950","99999","PT.CONCEPTION  CA - 50NM WEST","US","  ","    ","+34,270","-120,660","+0000.0","19880208","20081231"
"992960","99999","SANTA MARIA - 21 NM NORTHWEST","US","  ","    ","+34,880","-120,870","+0000.0","19870405","20081231"
"992970","99999","ENVIRONM BOUY 46039          ","US","  ","    ","+48,200","-123,400","+0003.0","19880311","19960312"
"992980","99999","TAIL OF THE BANK             ","CA","  ","    ","+43,750","-051,740","+0003.0","19870624","20081231"
"992990","99999","DATA BUOY 45010              ","US","  ","    ","+43,000","-087,800","+0180.0","19870404","20020419"
"993194","99999","SHIP BLOCK 19                ","US","  ","    ","+00,000","+000,000","+0000.0","19780315","19780315"
"993711","99999","SEWELLS POINT  VA            ","US","VA","    ","+36,950","-076,330","+0010.0","20080101","20210605"
"994006","99999","BIG CARLOS PASS              ","US","FL","    ","+26,400","-081,880","+0003.0","20080101","20210605"
"994007","99999","HONOLULU                     ","US","HI","    ","+21,300","-157,870","+0003.0","20080101","20210605"
"994008","99999","FRED HOWARD PARK             ","US","FL","    ","+28,120","-082,800","+0006.0","20080101","20210605"
"994009","99999","ANCLOTE GULF PARK            ","US","FL","    ","+28,180","-082,780","+0006.0","20080101","20130423"
"994010","99999","SOUTHWEST PASS  LA           ","US","  ","    ","+28,900","-089,430","+0000.0","19420901","20210605"
"994011","99999","ASTORIA                      ","US","OR","    ","+46,208","-123,767","+0002.0","20080101","20210605"
"994012","99999","CRESCENT CITY                ","US","CA","    ","+41,745","-124,183","+0004.8","20080101","20210605"
"994013","99999","CHEERY POINT                 ","US","WA","    ","+48,863","-122,758","+0005.0","20080101","20210605"
"994014","99999","SEATTLE                      ","US","WA","    ","+47,605","-122,338","+0002.0","20080101","20190102"
"994015","99999","FRIDAY HARBOR                ","US","WA","    ","+48,547","-123,010","+0002.0","20080101","20210605"
"994016","99999","SAN FRANCISCO                ","US","CA","    ","+37,807","-122,465","+0002.0","20080101","20210605"
"994017","99999","NORTH SPIT                   ","US","CA","    ","+40,767","-124,217","+0002.0","20080101","20210605"
"994018","99999","LA JOLLA                     ","US","CA","    ","+32,867","-117,258","+0002.0","20080101","20210605"
"994019","99999","MONTEREY                     ","US","CA","    ","+36,605","-121,888","+0002.0","20080101","20151231"
"994020","99999","CHESAPEAKE LIGHT  VA         ","US","VA","    ","+36,910","-075,710","+0000.0","19850501","20151231"
"994021","99999","NEAH BAY                     ","US","WA","    ","+48,368","-124,617","+0005.0","20080101","20210605"
"994022","99999","POINT REYES                  ","US","CA","    ","+37,990","-122,975","+0002.0","20080101","20210605"
"994023","99999","PORT SAN LUIS                ","US","CA","    ","+35,177","-120,760","+0002.0","20080101","20210605"
"994024","99999","PORT ANGELES                 ","US","WA","    ","+48,125","-123,440","+0005.0","20080101","20210605"
"994025","99999","PORT TOWNSEND                ","US","WA","    ","+48,112","-122,758","+0005.0","20080101","20210605"
"994026","99999","SOUTH BEACH                  ","US","OR","    ","+44,625","-124,043","+0002.0","20080101","20210605"
"994027","99999","SAN DIEGO                    ","US","CA","    ","+32,713","-117,173","+0002.0","20080101","20210605"
