city,state,time_date,sun_hourly,sun_daily,condition_code
irmo,sc,2021-04-17 06:21:00,NaN,NaN,NaN
sanford,fl,2021-04-16 23:15:00,NaN,NaN,NaN
sanford,fl,2021-04-16 22:49:00,NaN,NaN,NaN
imperial,mo,2021-04-16 14:42:00,NaN,NaN,NaN
