pinecity, ny, 2021-02-05 09:28:00, H: NaN, D: NaN, COCO: NaN
santaclaus, in, 2021-02-04 22:50:00, H: NaN, D: NaN, COCO: NaN
ormondbeach, fl, 2021-02-03 06:05:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2021-02-01 17:02:00, H: NaN, D: NaN, COCO: NaN
springfield, mo, 2021-02-01 15:36:00, H: NaN, D: NaN, COCO: NaN
elizabeth, co, 2021-02-01 15:25:00, H: NaN, D: NaN, COCO: NaN
eads, tn, 2021-01-29 05:22:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2021-01-28 11:39:00, H: NaN, D: NaN, COCO: NaN
mt.vernon, in, 2021-01-28 03:46:00, H: NaN, D: NaN, COCO: NaN
ajax, on, 2021-01-26 11:08:00, H: NaN, D: NaN, COCO: NaN
columbia, mo, 2021-01-26 10:50:00, H: NaN, D: NaN, COCO: NaN
santabarbara, ca, 2021-01-25 17:33:00, H: NaN, D: NaN, COCO: NaN
kingspark, ny, 2021-01-25 09:10:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2021-01-24 20:35:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2021-01-22 15:28:00, H: NaN, D: NaN, COCO: NaN
st.louis, mo, 2021-01-21 11:20:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2021-01-20 14:48:00, H: NaN, D: NaN, COCO: NaN
trenton, nj, 2021-01-18 17:55:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2021-01-18 10:36:00, H: NaN, D: NaN, COCO: NaN
erie, co, 2021-01-17 04:47:00, H: NaN, D: NaN, COCO: NaN
grandjunction, co, 2021-01-16 16:21:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2021-01-16 10:53:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2021-01-15 13:55:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2021-01-14 17:48:00, H: NaN, D: NaN, COCO: NaN
boise, id, 2021-01-14 09:25:00, H: NaN, D: NaN, COCO: NaN
pinecity, ny, 2021-01-14 06:21:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2021-01-13 06:47:00, H: NaN, D: NaN, COCO: NaN
showlow, az, 2021-01-13 04:20:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2021-01-13 03:07:00, H: NaN, D: NaN, COCO: NaN
roundrock, tx, 2021-01-13 00:00:00, H: NaN, D: NaN, COCO: 1.0
manchester, ct, 2021-01-11 06:56:00, H: NaN, D: NaN, COCO: NaN
marietta, ga, 2021-01-11 06:44:00, H: NaN, D: NaN, COCO: NaN
grandjunction, co, 2021-01-10 16:59:00, H: NaN, D: NaN, COCO: NaN
santabarbara, ca, 2021-01-10 14:40:00, H: NaN, D: NaN, COCO: NaN
st.louis, mo, 2021-01-10 09:11:00, H: NaN, D: NaN, COCO: NaN
gardena, ca, 2021-01-07 18:30:00, H: NaN, D: NaN, COCO: NaN
gardena, ca, 2021-01-07 18:30:00, H: NaN, D: NaN, COCO: NaN
erie, co, 2021-01-04 10:49:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2021-01-04 05:30:00, H: NaN, D: NaN, COCO: NaN
st.peter, mn, 2021-01-04 05:02:00, H: NaN, D: NaN, COCO: NaN
trenton, nj, 2021-01-03 21:19:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2021-01-01 20:22:00, H: NaN, D: NaN, COCO: NaN
towson, md, 2021-01-01 15:25:00, H: NaN, D: NaN, COCO: NaN
royalpalmbeach, fl, 2021-01-01 11:10:00, H: NaN, D: NaN, COCO: NaN
garretsville, oh, 2021-01-01 01:08:00, H: NaN, D: NaN, COCO: NaN
portstjohn, , 2020-12-31 23:30:00, H: NaN, D: NaN, COCO: NaN
helotes, tx, 2020-12-31 05:06:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-12-31 04:33:00, H: NaN, D: NaN, COCO: NaN
