name, state, date, time
New York City (Manhattan), NY, 11/3/07, 15:20
New York City (Staten Island), NY, 10/15/97, 15:00
New York City (Brooklyn), NY, 10/14/16, 11:00
New York City (Brooklyn), NY, 10/27/15, 05:00
New York City (Manhattan), NY, 10/6/15, 19:15
New York City (Staten Island), NY, 3/12/09, 01:30
New York City (Brooklyn), NY, 8/29/20, 17:00
New York Staten Island, NY, 5/30/20, 23:15
New York City (Brooklyn Heights), NY, 12/23/19, 18:00
New York, NY, 8/18/19, 17:44
New York City (Brooklyn), NY, 10/16/18, 00:41
New York City (Bronx), NY, 8/21/17, 14:44
New York, NY, 6/12/16, 00:00
New York City, NY, 6/12/16, 00:00
New York City (Brooklyn), NY, 9/18/15, 18:00
New York City (East Harlem), NY, 8/17/15, 20:00
New York City (Manhattan), NY, 8/10/14, 22:00
West New York, NJ, 8/14/13, 17:00
New York City, NY, 7/4/13, 00:00
New York City, NY, 6/1/13, 22:00
New York City, NY, 5/29/13, 11:03
New York City, NY, 4/20/13, 17:00
New York City (Brooklyn), NY, 12/26/12, 06:00
New York City (Bronx), NY, 10/10/12, 20:15
New York City (Brooklyn), NY, 9/19/12, 14:00
New York City (Brooklyn), NY, 6/11/12, 19:45
New York, NY, 3/7/12, 23:20
New York City (Queens), NY, 5/28/11, 22:00
New York City, NY, 10/15/10, 17:00
New York City (Manhattan), NY, 9/9/10, 00:31
New York City (Staten Island), NY, 5/19/10, 12:00
New York City (Manhattan), NY, 2/22/10, 17:30
New York City (Queens), NY, 2/4/09, 12:00
New York City, NY, 1/2/09, 23:15
New York City, NY, 11/20/08, 00:00
New York City (Manhattan), NY, 8/17/08, 12:00
New York City (Staten Island), NY, 7/5/08, 00:00
New York City, NY, 6/15/08, 00:00
New York, NY, 1/31/08, 07:30
New York City (Queens), NY, 7/20/07, 19:00
New York City (Brooklyn), NY, 6/16/07, 05:20
New York City (Bronx), NY, 4/17/07, 16:00
New York City (Times Square), NY, 1/1/07, 03:00
New York City (Brooklyn), NY, 4/16/03, 11:00
New York City (Brooklyn), NY, 2/26/00, 10:00
New York City, NY, 10/1/94, 13:13
New York City (Queens)(Jamaica), NY, 10/19/92, 14:00
New York City (Manhattan), NY, 7/1/82, 20:00
West New York, NJ, 8/15/79, 18:00
New York City (Queens), NY, 6/30/78, 22:00
New York, NY, 6/30/74, 18:30
New York City (Brooklyn), NY, 10/1/70, 16:00
New York City (Brooklyn), NY, 6/1/70, 19:30
New York City (Bronx), NY, 8/15/65, 00:00
New York City (Throggs Neck Bridge), NY, 9/5/64, 21:00
New York City (Brooklyn), NY, 6/5/64, 10:00
New York City (Brooklyn), NY, 8/15/61, 19:00
New York City (Bronx), NY, 6/30/52, 13:00
New York City (Brooklyn), NY, 1/8/46, 02:00
New York City (Brooklyn), NY, 10/5/20, 20:00
New York City (Jamaica), NY, 8/19/17, 06:20
New York City (over the Hudson), NY, 7/17/16, 22:35
New York City (Brooklyn), NY, 6/26/13, 20:00
New York City (Bronx), NY, 8/29/12, 12:00
New York City (Brooklyn), NY, 8/15/11, 15:00
New York, NY, 6/29/09, 00:15
New York City (Manhattan), NY, 7/9/08, 01:30
New York City (Staten Island), NY, 8/24/91, 22:00
New York City (Brooklyn), NY, 4/22/21, 22:23
New York City (Bronx), NY, 10/10/20, 20:15
New York City (Bronx), NY, 9/21/17, 18:00
New York City (Brooklyn), NY, 9/10/17, 22:30
New York, NY, 8/11/17, 00:10
New York City (Manhattan), NY, 7/25/17, 05:15
New York City (Brooklyn), NY, 1/27/17, 01:30
New York City (Brooklyn), NY, 1/26/17, 18:00
New York City (Yonkers), NY, 4/2/16, 23:00
New York City, NY, 7/26/15, 01:45
New York City (Brooklyn), NY, 11/29/14, 21:17
New York City, NY, 11/15/14, 17:51
New York City (Brooklyn), NY, 10/30/14, 00:30
New York City (Brooklyn), NY, 10/3/14, 20:05
New York City (Brooklyn), NY, 9/11/14, 19:43
New York City, NY, 8/22/14, 04:00
New York City (Brooklyn), NY, 6/30/14, 00:10
New York City (Manhattan), NY, 6/24/14, 00:00
New York City (Bronx), NY, 5/20/14, 02:00
New York City (Queens; Fresh Meadows), NY, 8/27/13, 20:50
New York City (Bronx), NY, 8/3/13, 21:30
New York City (Brooklyn), NY, 7/6/13, 22:00
New York City (Manhattan), NY, 12/27/12, 17:15
New York City (Bronx), NY, 10/27/12, 21:35
New York City (Middle Village) (Queens), NY, 10/4/12, 22:00
New York City (Ozone Park) (Queens), NY, 9/6/12, 21:04
New York City (Brooklyn), NY, 2/1/12, 03:00
New York City (Queens), NY, 1/6/12, 16:20
New York City (Brooklyn), NY, 1/1/12, 00:38
New York City (Brooklyn), NY, 1/1/12, 00:25
New York (Long Island), NY, 12/24/11, 21:30
New York City (Staten Island), NY, 7/30/11, 21:00
New York City (Brooklyn), NY, 6/19/11, 21:30
New York City (Brooklyn), NY, 1/26/11, 03:00
New York City (Brooklyn), NY, 8/21/09, 21:40
New York City (Staten Island), NY, 8/15/09, 09:32
New York City, NY, 6/7/09, 02:30
New York City (Brooklyn), NY, 2/6/09, 12:03
New York City (Staten Island), NY, 11/17/07, 01:43
New York City (Brooklyn), NY, 8/16/07, 22:50
New York City, NY, 9/11/06, 23:00
New York City (Brooklyn), NY, 6/1/02, 19:00
New York City (Bronx), NY, 7/10/83, 20:00
New York City (Brooklyn), NY, 4/20/21, 20:30
New York, NY, 2/8/20, 17:30
New York City, NY, 7/24/19, 23:00
New York City, NY, 9/3/14, 19:00
New York City (Brooklyn), NY, 7/28/14, 21:45
New York City (Manhattan), NY, 5/1/13, 14:00
New York City, NY, 11/21/06, 00:30
New York City, NY, 11/20/06, 02:15
New York City (Glandale/Queens), NY, 8/21/06, 01:45
New York, NY, 11/18/20, 14:45
New York City (Brooklyn), NY, 8/4/17, 00:00
New York Mills, MN, 5/1/16, 20:30
New York City (Bronx), NY, 3/19/16, 19:45
New York City (Manhattan), NY, 6/27/14, 20:00
New York City, NY, 10/24/07, 06:12
New York City (Brooklyn), NY, 7/31/06, 01:00
New York, NY, 12/12/20, 21:00
New York City (Brooklyn), NY, 10/17/20, 05:30
New York, NY, 7/31/20, 20:00
New York City (Manhattan), NY, 7/9/20, 18:00
New York, NY, 6/13/20, 00:40
New York City (Bronx), NY, 6/8/20, 21:55
New York City, NY, 4/9/20, 19:45
New York City (Queens), NY, 9/27/19, 22:00
New York City (Brooklyn), NY, 8/15/19, 19:00
New york, NY, 7/20/19, 20:30
New York City (Queens), NY, 4/23/19, 00:00
New York City (Brooklyn), NY, 4/17/19, 21:08
New York City, NY, 6/22/18, 20:30
New York City (Queens), NY, 11/1/17, 20:30
New York City (Queens), NY, 10/30/17, 11:11
New York City, NY, 9/25/17, 19:50
New York City (Queens)(Hollis), NY, 7/4/17, 22:00
New York City (Brooklyn), NY, 4/5/17, 04:08
New York City (Brooklyn), NY, 2/19/17, 07:30
New York City, NY, 2/13/17, 21:15
New York, NY, 1/1/17, 12:30
West New York, NJ, 11/26/16, 04:00
New York City, NY, 10/14/16, 10:40
New York City (Brooklyn), NY, 9/20/16, 21:00
New York City (Manhattan), NY, 7/16/16, 23:34
New York City (Bronx), NY, 7/3/16, 22:30
New York City (Queens), NY, 3/21/16, 21:45
New York City, NY, 2/28/16, 18:45
New York City (Brooklyn), NY, 11/26/15, 00:00
New York, NY, 11/21/15, 22:00
New York City (Brooklyn), NY, 8/22/15, 21:20
New York City (Brooklyn), NY, 8/8/15, 22:00
New York City (Brooklyn), NY, 7/4/15, 22:30
New York City (Bronx), NY, 12/29/14, 18:44
New York City (Brooklyn), NY, 10/1/14, 20:00
New York City (Jamaica), NY, 9/20/14, 20:16
New York (Remsaleer Train Station), NY, 9/11/14, 18:30
New York City (Bronx), NY, 8/30/14, 03:30
New York City (Brooklyn; Williamsburg), NY, 8/12/14, 23:00
New York City (Queens), NY, 7/17/14, 01:00
New York City (Brooklyn), NY, 5/11/14, 22:00
New York City, NY, 3/31/14, 21:25
New York City (Bronx), NY, 2/22/14, 23:00
New York City (Queens), NY, 1/11/14, 22:25
New York City (Brooklyn), NY, 1/4/14, 11:00
New York City (Bronx), NY, 10/9/13, 19:00
New York City (Brooklyn), NY, 8/21/13, 21:40
New York City (Bronx), NY, 8/15/13, 16:35
New York City (Bronx), NY, 7/16/13, 22:30
New York City (Brooklyn), NY, 7/6/13, 22:25
New York City (Bronx,  Riverdale), 7/1/13, 23:40
New York City (Glen Oaks/Littleneck area,  Queens), 5/19/13, 22:52
New York City (Brooklyn), NY, 4/21/13, 21:50
New York City (Bronx), NY, 2/26/13, 21:22
New York City (Brooklyn), NY, 1/27/13, 00:00
New York City (Bronx), NY, 10/6/12, 04:00
New York City (Brooklyn), NY, 9/9/12, 21:00
New York City (Brooklyn), NY, 8/6/12, 00:55
New York City (Manhattan), NY, 7/16/12, 00:30
New York City (Brooklyn), NY, 4/27/12, 21:00
New York City, NY, 2/6/12, 21:00
New York City (Brooklyn), NY, 1/22/12, 23:10
New York Mills, MN, 10/2/11, 21:00
New York, NY, 7/4/11, 18:30
New York City (Staten Island), NY, 6/29/11, 22:15
New York, NY, 1/16/11, 22:12
New York City (Queens), NY, 12/19/10, 04:27
New York City (Brooklyn), NY, 10/25/10, 23:00
New York City, NY, 10/13/10, 19:20
New York City (Manhattan), NY, 10/3/10, 22:00
New York City (Queens), NY, 8/31/10, 22:00
New York City (Manhattan), NY, 8/26/10, 22:23
New York City (Brooklyn), NY, 6/21/10, 01:00
New York City (Brooklyn), NY, 12/29/09, 20:00
New York City (Staten Island), NY, 8/24/09, 23:00
New York City (Staten Island), NY, 7/9/09, 23:30
New York City (Queens), NY, 6/23/09, 04:00
